#;Date;Service;Type de bière;Typologie;Nom;Degrés;Note;Note Sarah;Note Teddy;Analyse;Coordonnées GPS;Pays (ou Région);Bar / Ville;Contexte (terrasse, intérieur, ...);Evenement;Météo;Froid, très chaud ou bien;Température;Photo du moment;Photo de la bière;IBU/DI (proche de 1 = Amer);Année;Saison;Classement général et note;Nb de fois;Jour split;Mois split;Année split;Classement;Classement Sarah;Classement Teddy;Sarah🔹Teddy;Infos;Photos;Split typologie 1;Split typologie 2;Split typologie 3;Split typologie 4;IDDataBeer
11;;Pression;Ambré;;Pietra ;6.0;1.5;1.5;1.5;Douce, pas rafraîchissante;;;;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Ambré (92🔹1,5 ◾ 99🔹1,5);;;;;;t0k1j9b1
12;;Pression;Blanche;Bière de soif;Blanche des neiges;5.9;2;2.0;2.0;Très très douce + passe très bien + très raffraichissante;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blanche (61🔹2 ◾ 67🔹2);;Bière de soif;;;;o0y4w7s1
13;;Pression;Blonde;;Cap d'Ona (bière d’argeles);5.0;2;2.0;2.0;biere monotone, pas trop de gout, bière catalane;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;d2v1f0l0
14;;Pression;Blonde;;La Dix;6.5;2;2.0;2.0;Ressemble à une blanche (fort arrière goût);;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;f7a3j9m0
15;;Pression;Blonde;;Anosteké Blonde;7.5;2;2.0;2.0;Acre et légère;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;f7g1l1n0
16;;Pression;Blonde;;Rince cochon blonde;8.5;2;2.0;2.0;Goût ambré (goût de café);;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;l5u1u9p7
17;;Pression;Blonde;;Blonden Oz;6.0;2;2.0;2.0;Bière local de Bruges - arrière goût amer;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;f7m2l4t0
18;;Pression;Blonde;;Brugse Zot;6.0;2;2.0;2.0;Légère;;Belgique;Bruges;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;k9g5n5w2
19;;Pression;Blonde;;La Cervoise ;6.0;2;2.0;2.0;Douce ;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;o9t7z5y2
20;;Pression;Blonde;;Mia;4.0;2;2.0;2.0;Rafraichissante, petit gout au debut très bon (biere des pays de la loire);;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;u0g7j5w9
21;;Pression;Blanche;;La p’tite mamm (brasserie Surzur);4.0;2;2.0;2.0;Sent le chouchen et l’abricot, bulles (comme dans une badois), douce;;;CDC / Pénestin;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blanche (61🔹2 ◾ 67🔹2);;;;;;q9r8b2i2
22;;Pression;Blonde;;Brooklyn;5.2;2;2.0;2.0;Fruité, pas trop de goût, bonne sans plus;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;h0e5f2r0
23;;Pression;Ambré;;Telenn Du;4.5;2;2.0;2.0;Douce pour une ambrée, pas réchauffante pour une ambrée ;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Ambré (61🔹2 ◾ 67🔹2);;;;;;c5f7t8v9
24;;Pression;Ambré;;La Super Mamm;7.5;2;2.0;2.0;Rien de ouf mais bonne;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Ambré (61🔹2 ◾ 67🔹2);;;;;;c8v1r7c1
25;;Pression;Blanche;;La Bête blanche;5.2;2;2.0;2.0;Fraîche mais très citron +++;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blanche (61🔹2 ◾ 67🔹2);;;;;;r6g6k6j3
26;;Pression;Blonde;;La Cabaude;4.8;2;2.0;2.0;On dirait une IPA (un peu amère), pas trop de goût, lourde comme la grim ;;;;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;q3g1u5f4
27;;Pression;Blanche;;Baryl White;4.9;2.5;2.5;2.5;Legere amertume ;;;;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blanche (39🔹2,5 ◾ 42🔹2,5);;;;;;e7f4i4b5
28;;Pression;Blonde;;Castelan Grand Cru;8.5;2.5;2.5;2.5;Amer et douce ;;;;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;s6e8z7x0
29;;Pression;Blonde;;Straffe Hendrick Triple;9.0;2.5;2.5;2.5;Goût Acre mais avec du goût (original);;Belgique;Bruges;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;h8s0r5u1
30;;Pression;Blonde;;Duchesse Anne triple ;6.9;2.5;2.5;2.5;Douce;;;;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;m7s7s6d7
31;;Pression;Rouge;;Bonnets Rouges;5.5;2.5;2.5;2.5;Fruité sans sucre / légère ;;;;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Rouge (39🔹2,5 ◾ 42🔹2,5);;;;;;p3q8q8s0
32;;Pression;Blonde;;Fada;5.5;2.5;2.5;2.5;Forte, pas trop de gout;;;;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;t1h5o8o9
33;;Pression;Blonde;;La Baudega;4.5;2.5;2.5;2.5;Simple, bonne sans plus, rafraîchissante ;;;;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;z5n2y7s2
34;;Pression;Blonde;IPA;GX bière de Groix;7.2;2.5;2.5;2.5;Bien IPA, fruité;;;CDC / Pénestin;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;IPA;;;;v0p3g0z4
35;;Pression;Blonde;;Maredsous blonde;6.5;2.5;2.5;2.5;Pas très bonne, amer, bière simple;;;Le Baluchon / Camoel;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;r0s2v5i6
36;;Pression;Ambré;;Chimay Bleue;9.0;3;3.0;3.0;Goût de coca (caféine);;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Ambré (24🔹3 ◾ 26🔹3);;;;;;v1s9n6u7
37;;Pression;Ambré;;Kwak;8.4;3;3.0;3.0;Présentation +++ et douce ;;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Ambré (24🔹3 ◾ 26🔹3);;;;;;q8g0a8o4
38;;Pression;Blanche;;Hoegaarden blanche;4.9;3;3.0;3.0;Passe toute seule / raffraichissante;;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blanche (24🔹3 ◾ 26🔹3);;;;;;z4j2p5i6
39;;Pression;Blonde;;La Bête;9.0;3;3.0;3.0;Douce avec un arrière goût orangé;;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;h5t9l6h7
40;;Pression;Blonde;;Délirium Tremens;8.5;2;2.0;2.0;Touche fruité (à revoir), amer, ressemble à une IPA;;;Skull miroir bar / Bordeaux;;;;;;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blonde (61🔹2 ◾ 67🔹2);;;;;;j2e5z4p5
41;;Pression;Blonde;;Queue de charrue triple;9.0;3;3.0;3.0;Arrière goût amer;;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;x5g8s4v3
42;;Pression;Blonde;;Affligem;6.7;3;3.0;3.0;Fruité, raffraichissante, bière commune;;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;p6i4d4q9
43;;Pression;Blonde;;San Miguel (biere espagnol);5.4;3;3.0;3.0;Raffraichissante, gout au depart qui s'attenue apres, tres bonne;;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;g2s2q5r4
44;;Pression;Blonde;;Arsouille;6.0;3;3.0;3.0;Douce, fraîche, très bonne en été ++;;;;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;a7f8n3x4
45;;Pression;Blonde;;Ducasse Triple;9.0;3.5;3.5;3.5;Désaltérante et douce avec un goût fort en bouche;;;;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;s6p8f4q5
46;;Pression;Blonde;;Tripel Le Fort;8.0;3.5;3.5;3.5;Légèrement fruité;;;;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;m4y5c8x1
47;;Pression;Blonde;;Val Dieu;9.0;3.5;3.5;3.5;Sucré (goût de miel);;;;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;a9h8w4z7
48;;Pression;Blonde;;De Garre;11.0;3.5;3.5;3.5;Bière trouvé que dans un bar (De Garre) - Original +++ (Forte);;Belgique;De Garre, Bruges;Interieur;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;h2m3t9q7
49;;Pression;Blonde;;Bon secours;8.0;3.5;3.5;3.5;Pas trop de goût, forte niveau alcool mais pas forte niveau goût;;;;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;a1f7z7f2
50;;Pression;Blonde;;Bloemendier;7.0;3.5;3.5;3.5;sucré +++ mais tres bonne;;;;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;e3o6b7d5
51;;Pression;Rouge;;Délirium Red;8.0;3.5;3.5;3.5;Douce;;;;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Rouge (9🔹3,5 ◾ 10🔹3,5);;;;;;m8c2t5s2
52;;Pression;Rouge;;Mort Subite;4.0;3.5;3.5;3.5;Cerise +++ (Sarah adore, pas Teddy);;;;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Rouge (9🔹3,5 ◾ 10🔹3,5);;;;;;q1w6l3w0
53;;Pression;Blonde;;Nao Original;9.0;3.5;3.5;3.5;Passe toute seule, très bonne ;;;Le Baluchon / Camoel;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;t5b5o1w7
54;;Pression;Blonde;;Ciney;7.0;3.5;3.5;3.5;Bonne, fruité, fraiche;;;Camping Le Cenic / Pénestin;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;;;;;h3g4h2i2
55;;Pression;Ambré;;St Bernardeus Abt 12 (bière d'Abbaye Quadruple);10.0;4;4.0;4.0;Fort goût de café - Douce;;;;;;;;;;;;;;2🔹4;1;;;;2;2;2;2🔹4 ◾ 2🔹4;Ambré (2🔹4 ◾ 2🔹4);;;;;;f9h4e6j4
56;;Pression;Blonde;;Jarra (biere espagnol);5.2;4;4.0;4.0;Fruité, raffraichissante, super bonne, beaucoup de gout;;;;;;;;;;;;;;2🔹4;1;;;;2;2;2;2🔹4 ◾ 2🔹4;Blonde (2🔹4 ◾ 2🔹4);;;;;;n5e6j6p1
57;;Pression;Fruité;;Bûche pêche ;8.0;4;4.0;4.0;Bon goût de pêche / fruité / super bonne / sucré / rafraîchissante / Forte ++ ;;;Capsules et Bouchons / Guerande;;;;;;;;;;;2🔹4;1;;;;2;2;2;2🔹4 ◾ 2🔹4;Fruité (2🔹4 ◾ 2🔹4);;;;;;c9a3x2v3
58;;Pression;Brune;;Kasteel Brune Donker ;11.0;4;4.0;4.0;Goût fruit rouge;;;;;;;;;;;;;;2🔹4;1;;;;2;2;2;2🔹4 ◾ 2🔹4;Brune (2🔹4 ◾ 2🔹4);;;;;;n8g0w6r0
59;;Pression;Ambré;;Triple Karamelit;8.4;4;4.0;4.0;Petit goût caramel, passe forte au début puis s’estompe, très bonne ;;;;;;;;;;;;;;2🔹4;1;;;;2;2;2;2🔹4 ◾ 2🔹4;Ambré (2🔹4 ◾ 2🔹4);;;;;;t5b0n1p6
60;44372.0;Pression;Blonde;;B06 (bières d’Antibes);5.6;4;4.0;4.0;Douce, très bonne, pas forte, se boit comme de l’eau, bière locale;;;Antibes;;;;;;;;;2021;🌡️ Eté;2🔹4;1;25;6;2021;2;2;2;2🔹4 ◾ 2🔹4;Blonde (2🔹4 ◾ 2🔹4);;;;;;z1v2a0e0
61;;Pression;Ambré;;Licorne Primeur;5.5;4;4.0;4.0;Fruité, rafraîchissante comme une bière blanche, douce;;;;;;;;;;;;;;2🔹4;1;;;;2;2;2;2🔹4 ◾ 2🔹4;Ambré (2🔹4 ◾ 2🔹4);;;;;;c9n2w2u0
62;;Pression;Rousse;;Grimbergen d'automne (brassin d'automne);6.0;4.5;4.5;4.5;Fruité ;47.474616, -2.485036;;L'Endroit / Pénestin;;;;;;;;;;;1🔹4,5;1;;;;1;1;1;1🔹4,5 ◾ 1🔹4,5;Rousse (1🔹4,5 ◾ 1🔹4,5);;;;;;p7x8h0v9
63;;Pression;Blonde;;Houthakker;7.0;1.5;1.5;1.5;Sarah aime pas, âcre,  arrière goût;;;La P'tite case / Pornichet;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;;;;;e7x7l6u7
64;;Pression;Blanche;;Vedett Blanche;4.7;3.5;3.5;3.5;Rafraîchissante, fruité, bu un jour de grosse chaleur et passe très (trop) bien;;;Le p'tit rade / Pénestin;;;;;;;;;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blanche (9🔹3,5 ◾ 10🔹3,5);;;;;;f8y1c6u0
65;;Pression;Blonde;;Melisine gladiateur bio (bière du puy du fou) ;5.0;2.5;2.5;2.5;Ressemble à une brune, bière lourde (leffe), pas rafraîchissante ;;;Puy du Fou;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;h1u2v1n3
66;;Pression;Blonde;Bière de soif;Loburg;4.7;1.5;1.5;1.5;Bière de soif, rafraîchissante, meilleure qu'une 1664;;;Bar du fronton / Bidart;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;Bière de soif;;;;s3z6f6p9
67;;Pression;Blonde;Bière de soif;Odense (bière Danoise);5.2;1.5;1.5;1.5;Bière de soif, bon goût ;;;Sunset / Anglet;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;Bière de soif;;;;g8r2r4r6
68;;Pression;Blonde;IPA;Eguzki (IPA);5.5;3;3.0;3.0;Bonne, pas trop IPA, lasse vite, bon goût;;;BoardRiders / Cap-Breton;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;IPA;;;;n3t0n6f2
69;;Pression;Brune;;Ciney Brune;7.0;1;1.0;1.0;Fruité, brune, pas ouf, goût spécial;;;Le Tivoli / Vieux Boucau;;;;;;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Brune (122🔹1 ◾ 133🔹1);;;;;;t9g2v8m1
70;;Pression;Blonde;Bière de soif;The pass;4.5;3.5;3.5;3.5;Goût amer léger, bière de soif (forte), fine bulle, goût prononcé;;;Brasserie Rosny Beer / Seignosse;;;;;;;;0.5;;;9🔹3,5;1;;;;9;9;10;9🔹3,5 ◾ 10🔹3,5;Blonde (9🔹3,5 ◾ 10🔹3,5);;Bière de soif;;;;w4z9o3y9
71;;Pression;Blonde;;Nanu Nanu;5.5;2.5;2.5;2.5;Forte en goût, paraît forte en degrés, pas si amer que ça;;;Brasserie Rosny Beer / Seignosse;;;;;;;;0.7;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;h7e8a9i5
72;;Pression;Blanche;;The Helter;4.5;2;2.0;2.0;Pas trop de goût, pas amer, pas rafraîchissante, plus blonde que blanche, goût fruité;;;Brasserie Rosny Beer / Seignosse;;;;;;;;0.6;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blanche (61🔹2 ◾ 67🔹2);;;;;;q4y4n4t5
73;;Pression;Blonde;;La Francette;5.0;3;3.0;3.0;Douce, très bon goût, passe pour tout occasion, rafraîchissante ;;;Beer's Brothers / Guerande;;;;;;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;l2a6o2e7
74;;Pression;Blonde;;Filou;8.5;2.5;2.5;2.5;Bon goût, rafraîchissante mais forte;;;Beer's Brothers / Guerande;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;;;;;c0w6t9z4
75;;Pression;Brune;;Monster 91;9.5;0.5;0.5;0.5;Goût chocolat/café ++, pas bonne du tout;;;Brasserie Rosny Beer / Seignosse;;;;;;;;0.5;;;159🔹0,5;1;;;;159;154;160;154🔹0,5 ◾ 160🔹0,5;Brune (154🔹0,5 ◾ 160🔹0,5);;;;;;r9v5u4l8
76;;Pression;Blonde;;Fancy Fuzz;5.5;3;3.0;3.0;;;;Brasserie Rosny Beer / Seignosse;;;;;;;;0.5;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;c0r0b7t0
77;;Pression;Blanche;;Bière de Groix (blanche);5.0;1.5;1.5;1.5;Bonne blanche avec un arrière goût amère;;;CDC / Pénestin;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blanche (92🔹1,5 ◾ 99🔹1,5);;;;;;n6w6e6f5
78;;Pression;Blanche;;Blanche Hermine;4.0;1.5;1.5;1.5;;;;Relais de La Roche / La Roche Bernard;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blanche (92🔹1,5 ◾ 99🔹1,5);;;;;;b5x0g8o9
79;;Pression;Blonde;;Paranoïa;5.6;1.5;1.5;1.5;Amer, presque pareil qu'une hoegaarden;;;O Trinck Nard / Guerande;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;;;;;j5u3m2p9
80;;Pression;Blonde;Bière de soif;Ginette;4.5;1.5;1.5;1.5;Bière de soif, meilleur que la 1664, sympa avant un resto mais pas trop de goût ;;;;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;Bière de soif;;;;u8m9p5v4
81;;Pression;Blanche;;Hermine;4.0;1.5;1.5;1.5;Fraîche, blanche, pas fruité;;;Beer's Brothers / Guerande;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blanche (92🔹1,5 ◾ 99🔹1,5);;;;;;j1g6q1e2
82;;Pression;Blonde;;Tripick 8;8.5;1.5;1.5;1.5;Sarah la trouve amère mais pas moi, fruité ;;;Beer's Brothers / Guerande;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;;;;;u4a2k5q4
83;;Bock;Blonde;IPA;Coreff IPA;5.6;2.5;2.5;2.5;Bonne IPA, Bast la note à 3, pas très forte, passes très bien ;;;;;;;;;;;;;;41🔹2,5;1;;;;41;39;42;39🔹2,5 ◾ 42🔹2,5;Blonde (39🔹2,5 ◾ 42🔹2,5);;IPA;;;;b6z4l5e0
84;;Pression;Blonde;;Éléphant;7.2;3;3.0;3.0;Fruité, amer pour pas une IPA (pour Sarah pas pour moi), très bonne;;;Wall Street / Bordeaux;;;☀️;;28.0;;;;;;23🔹3;1;;;;23;24;26;24🔹3 ◾ 26🔹3;Blonde (24🔹3 ◾ 26🔹3);;;;;;g9t0u2y2
85;;Pression;Blonde;Bière de soif;Darwin;5.5;1;1.0;1.0;Un peu amer, fraîche, bière de soif;;;Darwin Éco Système / Bordeaux;;;☀️;;28.0;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Blonde (122🔹1 ◾ 133🔹1);;Bière de soif;;;;i1v9b8h8
86;;Pression;Blonde;;Pêche mel bush;8.5;0.5;0.5;0.5;Trop sucré, pêche +++, plate, pas rafraîchissante, égal à un diabolo pêche alcoolisé;;;Wall Street / Bordeaux;;;☀️;;28.0;;;;;;159🔹0,5;1;;;;159;154;160;154🔹0,5 ◾ 160🔹0,5;Blonde (154🔹0,5 ◾ 160🔹0,5);;;;;;w9d9k3n4
87;;Pression;Blonde;IPA;Lagunitas IPA;6.2;1;1.0;1.0;Bonne bière IPA, pas trop amer pour une IPA;;;L'ombrerie café / Bordeaux;;;☀️;;28.0;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Blonde (122🔹1 ◾ 133🔹1);;IPA;;;;x1u6f4h4
88;;Pression;Blanche;;König Weiss Blanche;5.5;2;2.0;2.0;Rafraîchissante, bonne mais équivalente à une bière de soif, agréable à boire en terrasse quand il fait chaud, comme une hoeggarden blanche ;;;L'ombrerie café / Bordeaux;;;☀️;;28.0;;;;;;63🔹2;1;;;;63;61;67;61🔹2 ◾ 67🔹2;Blanche (61🔹2 ◾ 67🔹2);;;;;;l1b0z2e2
